Product_Id,Product_name,Price,city_code,type_id,seller_id
1,TVS,35000,3451,1,86
2,Royal Enfield,119900,3938,1,67
3,Triumph,600000,3104,1,14
4,TVS,65000,3545,1,100
5,Yamaha,80000,4191,1,22
6,Yamaha,53499,4216,1,97
7,Honda,85000,1108,1,4
8,Hero,45000,445,1,54
9,Royal Enfield,145000,2217,1,98
10,Royal Enfield,88000,3685,1,67
11,Yamaha,72000,564,1,20
12,Yamaha,95000,989,1,26
13,Bajaj,78000,930,1,96
14,Bajaj,29499,1868,1,78
15,Bajaj,29900,1526,1,22
16,Bajaj,90000,2929,1,3
17,Bajaj,120000,2435,1,55
18,Suzuki,48000,1705,1,28
19,Benelli,240000,1486,1,68
20,Bajaj,29900,2582,1,59
21,Bajaj,120000,797,1,42
22,Suzuki,48000,294,1,45
23,Hero,46500,650,1,11
24,Royal Enfield,121700,2645,1,96
25,Yamaha,45000,542,1,88
26,Bajaj,78000,2291,1,32
27,Hero,20000,3459,1,64
28,Honda,20800,316,1,88
29,Bajaj,50000,2815,1,50
30,Honda,81200,812,1,22
31,Bajaj,88000,1386,1,95
32,Yamaha,80000,3692,1,68
33,Bajaj,40900,3649,1,46
34,KTM,180000,3667,1,77
35,Honda,40000,1716,1,84
36,KTM,70000,1301,1,86
37,Royal Enfield,98800,2364,1,58
38,Honda,65000,1083,1,28
39,Royal Enfield,190500,464,1,21
40,KTM,179000,3980,1,16
41,Royal Enfield,70000,453,1,3
42,Bajaj,45000,3653,1,79
43,Royal Enfield,78000,780,1,30
44,Bajaj,110000,2662,1,63
45,Royal Enfield,85000,509,1,14
46,Bajaj,38000,2876,1,42
47,Royal Enfield,55346,388,1,4
48,Mahindra,28000,175,1,52
49,Hero,37000,2425,1,6
50,Suzuki,97000,3073,1,55
51,Yamaha,40000,4032,1,91
52,Royal Enfield,90000,141,1,14
53,TVS,60000,2595,1,30
54,Honda,21900,3012,1,93
55,Bajaj,40000,2449,1,49
56,Benelli,475000,1660,1,80
57,Honda,34500,3659,1,81
58,Yamaha,25000,3158,1,24
59,Suzuki,30200,3283,1,90
60,Bajaj,65000,3952,1,13
61,Bajaj,25000,1308,1,67
62,Kawasaki,935000,243,1,53
63,Royal Enfield,107100,11,1,35
64,Bajaj,80000,3789,1,25
65,Royal Enfield,88000,496,1,65
66,KTM,94700,471,1,14
67,Hero,12200,1046,1,27
68,Royal Enfield,106000,2287,1,8
69,Bajaj,29500,4293,1,89
70,Kawasaki,290000,3936,1,73
71,Royal Enfield,110000,3686,1,2
72,Bajaj,27000,475,1,100
73,Royal Enfield,65000,3359,1,79
74,Royal Enfield,150000,346,1,55
75,Hero,55786,196,1,73
76,Bajaj,45000,2162,1,58
77,Yamaha,146000,4021,1,43
78,Royal Enfield,115000,2653,1,98
79,Bajaj,30000,3058,1,1
80,Bajaj,93100,3056,1,57
81,Yamaha,82000,1167,1,82
82,Royal Enfield,260000,1064,1,99
83,Honda,38000,333,1,31
84,KTM,130000,865,1,12
85,Royal Enfield,118000,909,1,41
86,Bajaj,14700,1497,1,71
87,Royal Enfield,85000,2692,1,10
88,Bajaj,40000,595,1,38
89,Yamaha,50000,3760,1,67
90,Royal Enfield,71800,1612,1,45
91,Royal Enfield,71800,4307,1,89
92,Bajaj,75000,2722,1,99
93,Ducati,1350000,3502,1,48
94,Triumph,790000,3063,1,56
95,Bajaj,47000,597,1,12
96,Bajaj,60000,921,1,38
97,Suzuki,96700,348,1,34
98,Hero,31900,2352,1,54
99,Bajaj,35000,4183,1,38
100,KTM,240000,463,1,30
